	Actinomarinales1	Alpha1	Alpha10	Alpha12	Alpha13	Alpha14	Alpha15	Alpha16	Alpha2	Alpha3	Alpha4	Alpha5	Alpha6	Alpha7	Alpha8	Alpha9	Delta1	Delta11	Delta12	Delta13	Delta14	Delta2	Delta3	Delta4	Delta5	Gamma1	Gamma2	Gamma3	Gamma4	Gamma5	Gamma7	Marinimicrobia1	Spiro1
3557_BF	0	0	0.24531963320796	0.18013253440565	0	0	0	0	0	0.19414164476064	0	0.027878169908826	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35252801771693	0	0	0	0	0	0	0
3557_BG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.370397	0	0	0.629603	0	0	0	0	0	0	0
3557_BH	0	0	0.34987968194183	0.32118330194601	0	0	0	0	0	0.0024262397991212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030919648462021	0	0	0	0.29559112785101	0	0	0
3557_BI	0	0	0.452674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.547326	0	0	0	0	0	0	0
3557_BJ	0	0.036012036012036	0.54832454832455	0	0	0	0	0	0	0.17332117332117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24234224234224	0	0	0	0	0	0	0
3557_BK	0	0	0.353274	0	0	0	0	0	0	0	0	0.173319	0	0.056703	0	0	0	0	0	0	0	0	0	0	0	0.416704	0	0	0	0	0	0	0
3557_BL	0	0	0.48206620933044	0	0	0	0	0	0	0	0	0.15515160603487	0	0.07770162354703	0	0	0.041914156504305	0	0	0	0	0	0	0	0	0.19700002773187	0	0	0	0.046166376851488	0	0	0
3557_BM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.176726	0	0	0.823274	0	0	0	0	0	0	0
3557_BN	0	0	0.21195142010322	0.28650123726849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025028796924452	0	0	0.47651854570384	0	0	0	0	0	0	0
3557_BO	0	0	0	0	0	0	0	0	0	0.301874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.698126	0	0	0	0	0	0	0
3557_BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.321479	0	0	0.678521	0	0	0	0	0	0	0
3557_BQ	0	0	0	0	0	0	0	0	0	0	0	0.53335548538245	0	0	0	0	0.145858895189	0	0	0	0	0	0	0	0	0.32078561942854	0	0	0	0	0	0	0
3557_BR	0	0	0	0	0	0	0	0	0	0	0	0.383357	0	0	0	0	0.194497	0	0	0	0	0	0	0	0	0.422146	0	0	0	0	0	0	0
3557_BS	0	0	0	0	0	0	0	0	0	0.203498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.796502	0	0	0	0	0	0	0
3557_BT	0	0	0	0	0	0	0	0	0	0.16672627463029	0	0	0	0	0	0	0	0	0	0	0	0	0.2374265201831	0	0	0.59584720518661	0	0	0	0	0	0	0
3557_BU	0	0	0	0	0	0	0	0	0	0.16407873692493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.83592126307507	0	0	0	0	0	0	0
3557_BV	0	0	0	0	0	0	0	0	0	0.35251664748335	0	0	0	0	0	0	0.14310385689614	0	0	0	0	0	0.053321946678053	0	0	0.45105754894245	0	0	0	0	0	0	0
3557_BW	0	0	0	0	0	0	0	0	0	0.42091182950407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57908817049593	0	0	0	0	0	0	0
3557_BX	0	0	0	0	0	0	0	0	0	0.561987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.438013	0	0	0	0	0	0	0
3557_BY	0	0	0	0	0	0	0	0	0	0.864841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135159	0	0	0	0	0	0	0
3557_BZ	0	0	0	0	0	0	0	0	0	0.35638877278312	0	0	0	0	0	0	0	0	0	0	0	0	0.17052454475983	0	0	0.47308668245705	0	0	0	0	0	0	0
3557_CA	0	0	0	0	0	0	0	0	0	0.63063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36937	0	0	0	0	0	0	0
3557_CB	0	0	0	0	0	0	0	0	0	0.429197	0	0	0	0	0	0	0	0	0	0	0	0	0.120598	0	0	0.450205	0	0	0	0	0	0	0
3557_CC	0	0	0.064324	0	0	0	0	0	0	0.313255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.622421	0	0	0	0	0	0	0
3557_CD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13319013319013	0	0.46662646662647	0	0.31726031726032	0	0	0	0	0.082923082923083
3557_CE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129103	0	0.48248	0	0.282532	0	0	0	0	0.105885
3557_CF	0	0	0	0	0	0	0	0	0	0	0	0.069535166589036	0	0.058787949695475	0	0	0.094580365164757	0	0	0	0	0	0.18634947825722	0	0	0.59074704029351	0	0	0	0	0	0	0
3557_CG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13504086495914	0	0	0	0	0	0.28792371207629	0	0	0.57703542296458	0	0	0	0	0	0	0
3557_CH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07427	0	0	0	0	0	0	0.348352	0	0.161091	0	0.258347	0	0	0	0	0.15794
3557_CI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1025338974661	0	0	0	0	0	0	0.14905485094515	0	0.44570455429545	0	0.24414475585524	0	0	0	0	0.058561941438059
3557_CJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15875384124616	0	0	0.10818989181011	0	0	0	0	0	0.17293582706417	0	0	0.4965365034635	0	0.063583936416064	0	0	0	0	0
3557_CK	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127266	0	0	0	0	0	0	0	0	0.266111	0	0	0.606623	0	0	0	0	0	0	0
3557_CL	0	0	0	0	0	0	0	0	0	0	0	0	0	0.293756	0	0	0.219853	0	0	0	0	0	0.039698	0	0	0.405439	0	0.041254	0	0	0	0	0
3557_CM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56619587685947	0	0	0.35267247425344	0	0.081131648887084	0	0	0	0	0
3557_CN	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27531287257894	0	0	0.15494356349629	0	0	0	0	0	0.38140085932169	0	0	0.18834270460308	0	0	0	0	0	0	0
3557_CO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.342511	0	0	0	0	0	0.350517	0	0	0.306972	0	0	0	0	0	0	0
3557_CP	0	0	0	0	0	0	0	0	0	0	0	0	0	0.490769	0	0	0	0	0	0	0	0	0.149486	0	0	0.359745	0	0	0	0	0	0	0
3557_CQ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22268777731222	0	0	0	0	0	0.16005883994116	0	0	0.61725338274662	0	0	0	0	0	0	0
3557_D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.189341	0	0	0.784211	0	0	0	0	0	0	0.026448
3557_E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.096969	0	0	0.903031	0	0	0	0	0	0	0
3557_F	0	0	0.084470672367015	0	0	0	0	0	0	0.43534195392527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48018737370771	0	0	0	0	0	0	0
3557_G	0	0	0.583216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.416784	0	0	0	0	0	0	0
3557_H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45736522744113	0	0	0.46106670164123	0	0	0	0	0	0	0.081568070917645
3557_I	0	0	0.17785086687024	0.10801951371939	0	0	0	0	0	0.18022748646188	0	0.057066912908359	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47683522004012	0	0	0	0	0	0	0
3557_J	0	0	0	0	0	0	0	0	0	0.16216474653093	0.10859909510051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72923615836857	0	0	0	0	0	0	0
3557_M	0	0	0.213157	0.089613	0	0	0	0	0	0.227484	0	0.078093	0	0	0	0	0	0	0	0	0	0	0	0	0	0.391653	0	0	0	0	0	0	0
3557_N	0	0	0.075857924142076	0.17829982170018	0	0	0	0	0	0.093606906393094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65223534776465	0	0	0	0	0	0	0
3557_O	0	0	0.156992	0.064464	0	0	0	0	0	0.25375	0	0.132824	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39197	0	0	0	0	0	0	0
3557_P	0	0	0.203879	0.15824	0	0	0	0	0	0.146167	0	0.070481	0	0	0	0	0	0	0	0	0	0	0	0	0	0.421233	0	0	0	0	0	0	0
3557_Q	0	0	0.2006667993332	0.16700583299417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099247900752099	0	0	0.53307946692053	0	0	0	0	0	0	0
3557_R	0	0	0.256669	0.152808	0	0	0	0	0	0.093425	0	0.09187	0	0	0	0	0	0	0	0	0	0	0	0	0	0.405228	0	0	0	0	0	0	0
3557_S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165764	0	0	0.834236	0	0	0	0	0	0	0
3557_T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.358639	0	0	0.641361	0	0	0	0	0	0	0
3557_U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222198	0	0	0.777802	0	0	0	0	0	0	0
3557_V	0	0	0.12591115348411	0.14106687424071	0	0	0	0	0	0.15451795354525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57850401872994	0	0	0	0	0	0	0
3557_W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.260067	0	0	0.739933	0	0	0	0	0	0	0
3557_X	0	0	0.174303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.421089	0	0	0	0.404608	0	0	0
3557_Y	0	0	0.466134	0.122581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.411285	0	0	0	0	0	0	0
3557_Z	0	0	0.351141	0	0	0.025857	0	0	0	0.123201	0.073244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.426557	0	0	0	0	0	0	0
3585_CK_4019_A	0	0	0	0	0	0	0	0	0	0.302864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.697136	0	0	0	0	0	0	0
3585_CL_4019_B	0	0	0.052161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257516	0	0	0	0.690323	0	0	0
3585_CM_4019_C	0	0	0.488587	0.226955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284458	0	0	0	0	0	0	0
3585_CN_4019_D	0	0	0.422966	0.277361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.299673	0	0	0	0	0	0	0
3585_CO_4019_E	0	0	0.43119	0.071196	0	0	0	0	0	0.136533	0	0.075314	0	0	0	0	0	0	0	0	0	0	0	0	0	0.285767	0	0	0	0	0	0	0
3585_CP_4019_F	0	0	0.336359	0.378423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.285218	0	0	0	0	0	0	0
3585_CQ_4019_G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.623459	0	0	0	0	0	0	0.376541
3586_CC_4019_H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20730928293331	0	0.62484758518945	0	0	0	0	0	0	0.16784313187724
3586_CD_4019_I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5570267970088	0	0.32773276060508	0	0	0	0	0	0	0.11524044238611
3586_CE_4019_J	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18961029571253	0	0.69955173161738	0	0	0	0	0	0	0.11083797267009
3586_CF_4019_K	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180584	0	0.633114	0	0	0	0	0	0	0.186302
3586_CG_4019_L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1567275601616	0	0.72191499542693	0	0	0	0	0	0	0.12135744441147
3586_CH_4019_M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068216460297161	0	0.20385589673254	0	0.078863054450465	0	0	0	0	0.64906458851984
3586_CI_4019_N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18428924381086	0	0.46884551060825	0	0.13098008932581	0	0	0	0	0.21588515625508
3630_C	0	0	0	0	0	0	0	0	0	0.291784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.708216	0	0	0	0	0	0	0
3630_D	0	0	0	0	0	0	0	0	0	0	0	0	0	0.260915	0	0	0	0	0	0	0	0	0	0	0	0.739085	0	0	0	0	0	0	0
3630_E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92830301777594	0	0	0	0	0	0	0.07169698222406
3630_F	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138179	0	0	0	0	0	0	0	0	0	0	0	0.762232	0	0	0	0	0	0	0.099589
3630_G	0	0	0.50985686836616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45715812295141	0	0	0	0	0	0	0.032985008682429
3630_H	0	0	0.1956791956792	0.41665141665142	0	0	0	0	0	0	0	0.062258062258062	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32541132541132	0	0	0	0	0	0	0
3630_I	0	0	0.2947432947433	0.32086132086132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38439538439538	0	0	0	0	0	0	0
3630_J	0	0	0.22864022864023	0.42597842597843	0	0	0	0	0	0	0	0.026860026860027	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31852131852132	0	0	0	0	0	0	0
3630_K	0	0	0.21678521678522	0.32387232387232	0	0	0	0	0	0	0	0.021485021485022	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43785743785744	0	0	0	0	0	0	0
3630_L	0	0	0.3960236039764	0.39315160684839	0	0	0	0	0	0	0	0.034548965451035	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17627582372418	0	0	0	0	0	0	0
3630_M	0	0	0.238444	0.350074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.411482	0	0	0	0	0	0	0
3630_N	0	0	0.146952	0.342992	0	0	0	0	0	0	0	0.015596	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49446	0	0	0	0	0	0	0
3630_O	0	0	0.257481	0.324195	0	0	0	0	0	0	0	0.027529	0	0	0	0	0	0	0	0	0	0	0	0	0	0.390795	0	0	0	0	0	0	0
3854_4020_A	0	0	0.69141789403793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30858210596207	0	0	0	0	0	0	0
3854_4020_C	0	0	0.214803	0	0	0	0	0	0	0.51215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.273047	0	0	0	0	0	0	0
3854_4020_D	0	0	0.572035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.427965	0	0	0	0	0	0	0
3854_4020_E	0	0	0.1995538004462	0	0	0	0	0	0	0.53746646253354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26297973702026	0	0	0	0	0	0	0
4148_4289_AA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1179072254855	0	0	0	0	0	0	0	0.13023294974393	0.51562543851534	0.1198748925475	0	0	0	0	0	0.11635949370773
4148_4289_AD	0	0	0.83756209571509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15053571574233	0	0	0	0	0	0	0.011902188542576
4148_4289_AI	0	0	0.55475165347345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41706040336587	0	0	0	0	0	0	0.028187943160678
4148_4289_AJ	0	0	0.61787929279892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38212070720108	0	0	0	0	0	0	0
4148_4289_AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021288943154004	0	0.79865113511066	0	0.18005992173534	0	0	0	0	0
4148_4289_AO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8433340446604	0	0.1566659553396	0	0	0	0	0
4148_4289_AS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30763485723958	0	0	0	0	0	0	0	0.60857546103768	0	0	0	0	0	0	0.083789681722732
4148_4289_AU	0	0	0	0	0	0.32770053739585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33102947460106	0	0	0.27142804318888	0	0	0	0	0	0	0.069841944814212
4148_4289_AV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.422538	0	0.577462	0	0	0	0	0	0	0
4148_4289_AZ	0	0	0	0	0	0	0	0	0	0.636674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.363326	0	0	0	0	0	0	0
4148_4289_B	0	0	0	0	0	0	0	0	0	0	0	0	0	0.337511	0	0	0	0	0	0	0	0	0	0	0	0.662489	0	0	0	0	0	0	0
4148_4289_BA	0	0	0	0	0	0	0	0	0	0.506351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.493649	0	0	0	0	0	0	0
4148_4289_BB	0	0	0	0	0	0	0.15491709669705	0	0	0	0	0	0	0	0	0	0	0.53244056864581	0	0	0	0	0	0	0	0.14443992499704	0	0	0	0	0	0.1682024096601	0
4148_4289_BC	0	0	0	0.673733	0	0	0	0	0	0	0	0.326267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4148_4289_BD	0	0	0	0	0	0	0	0	0	0.417152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.582848	0	0	0	0	0	0	0
4148_4289_BF	0	0	0.249849	0.750151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4148_4289_BG	0	0	0.490888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.509112	0	0	0	0	0	0	0
4148_4289_BH	0	0.385738	0.23493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.379332	0	0	0	0	0	0	0
4148_4289_BJ	0	0	0	0.328562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.671438	0	0	0	0	0	0	0
4148_4289_BK	0	0	0	0.229622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.770378	0	0	0	0	0	0	0
4148_4289_BL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35066	0	0	0	0	0	0	0	0.495912	0	0.153428	0	0	0	0	0
4148_4289_BS	0	0	0	0.52692725643975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47307274356025	0	0	0	0	0	0	0
4148_4289_BT	0	0	0	0.289129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.710871	0	0	0	0	0	0	0
4148_4289_BU	0	0	0	0.49886512239516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50113487760484	0	0	0	0	0	0	0
4148_4289_BV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.231794	0	0	0.768206	0	0	0	0	0	0	0
4148_4289_BX	0	0	0	0	0	0	0	0.041297	0	0	0	0	0	0	0	0	0	0	0	0	0.154847	0	0	0	0	0.240725	0	0	0	0	0.563131	0	0
4148_4289_BY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15849065517989	0	0	0	0	0.14032995734568	0	0	0	0	0.70117938747444	0	0
4148_4289_BZ	0	0	0	0.618697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.381303	0	0	0	0	0	0	0
4148_4289_CE	0	0	0	0	0	0	0	0.093850568738828	0	0	0	0	0	0	0	0	0	0	0	0	0.046253212594798	0	0	0	0	0.37462778739093	0	0	0	0	0.48526843127544	0	0
4148_4289_CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.858265	0	0.141735	0	0	0	0	0
4148_4289_CH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32585315644612	0	0.67414684355388	0	0	0	0	0	0	0
4148_4289_CI	0	0.28866071133929	0.17399482600517	0.087868912131088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44947555052445	0	0	0	0	0	0	0
